Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF25V,CAPC2012X140N,54.0512,-71.4684,90,top
C2,22uF25V,CAPC2012X140N,61.8744,-81.4904,270,top
C3,1uF50V,CAPC2012X135N,130.302,-130.752,270,top
C4,1uF50V,CAPC2012X135N,130.302,-110.1052,270,top
C5,1uF50V,CAPC2012X135N,115.062,-130.106,270,top
C6,1uF50V,CAPC2012X135N,115.316,-110.4172,270,top
C7,1uF50V,CAPC2012X135N,100.33,-130.614,270,top
C8,1uF50V,CAPC2012X135N,100.33,-110.1632,270,top
C9,10uF25V,CAPC2012X145N,97.986,-90.3986,180,top
C10,10uF25V,CAPC2012X145N,92.4632,-90.1446,180,top
C11,1uF50V,CAPC2012X135N,82.6008,-65.024,270,top
C12,1uF50V,CAPC2012X135N,77.7748,-65.0676,270,top
C13,100nF50V,CAPC3216X100N,97.392,-87.7316,180,top
C14,100nF50V,CAPC3216X100N,93.0232,-87.8586,180,top
C15,10nF50V,CAPC2012X65N,77.8764,-82.8112,270,top
C16,10nF50V,CAPC2012X65N,77.7312,-78.1812,0,top
C17,100nF50V,CAPC3216X100N,97.2312,-74.0326,90,top
C18,100nF50V,CAPC3216X100N,76.6148,-74.3712,180,top
C19,2.2uF50V,CAPC3216X180N,97.2312,-81.1206,270,top
C20,10uF25V,CAPC2012X145N,88.8492,-75.9206,180,top
C21,10uF25V,CAPC2012X145N,76.0548,-76.4032,180,top
C22,10uF25V,CAPC2012X145N,95.1992,-74.5926,90,top
C23,2.2uF50V,CAPC3216X180N,92.5322,-73.8956,270,top
C24,100nF50V,CAPC3216X100N,88.1972,-73.3806,180,top
C25,100nF50V,CAPC3216X100N,72.4324,-74.3712,0,top
C26,10uF25V,CAPC2012X145N,71.7732,-79.1464,0,top
C27,10uF25V,CAPC2012X145N,73.0068,-76.4032,0,top
C28,2.2nF50V,CAPC2012X135N,88.9182,-62.7126,180,top
C29,2.2nF50V,CAPC2012X135N,96.1572,-62.7126,0,top
C30,100nF50V,CAPC3216X100N,71.2724,-97.9508,270,top
C31,10nF50V,CAPC2012X65N,77.4192,-93.6172,270,top
D1,SM4007PL,SODFL3718X125N,111.9376,-70.8152,180,top
IC1,AMS1117-5.0,SOT229P700X180-4N,55.5244,-80.6704,0,top
IC2,PCM5102APWR,SOP65P640X120-20N,91.5162,-81.5086,180,top
IC3,PCM1803ADBR,SOP65P780X200-20N,72.4408,-85.5472,270,top
R1,470,R_0805_JLCPCB,131.2395,-127.508,0,top
R2,470,R_0805_JLCPCB,131.318,-107.3112,0,top
R3,470,R_0805_JLCPCB,116.1565,-127.508,0,top
R4,470,R_0805_JLCPCB,116.1565,-107.5652,0,top
R5,470,R_0805_JLCPCB,101.0135,-127.508,0,top
R6,470,R_0805_JLCPCB,101.2675,-107.362,0,top
R7,220,R_0402_JLCPCB,116.1566,-70.866,180,top
R8,10k,R_0402_JLCPCB,113.3348,-89.3484,270,top
R9,220,R_0402_JLCPCB,115.824,-89.131,270,top
R10,47,R_0805_JLCPCB,142.3416,-70.866,270,top
R11,47,R_0805_JLCPCB,131.3965,-70.104,180,top
R12,100,R_0805_JLCPCB,82.6008,-68.2752,270,top
R13,100,R_0805_JLCPCB,77.8256,-68.326,270,top
R14,470,R_0805_JLCPCB,89.789,-66.04,90,top
R15,470,R_0805_JLCPCB,95.3008,-66.0423,90,top
U2,6N138SDM,SMDIP-8_W9.53mm,112.014,-79.8474,270,top
U3,24.576MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,74.1544,-93.6576,90,top
