Comment,Designator,Footprint,LCSC
100nF50V,"C13,C14,C17,C18,C24,C25,C30",SamacSys_Parts:CAPC3216X100N,C24497
10nF50V,"C15,C16,C31",SamacSys_Parts:CAPC2012X65N,C1710
2.2uF50V,"C19,C23",SamacSys_Parts:CAPC3216X180N,C50254
22uF25V,"C1,C2",SamacSys_Parts:CAPC2012X140N,C45783
2.2nF50V,"C28,C29",SamacSys_Parts:CAPC2012X135N,C28260
1uF50V,"C3,C4,C5,C6,C7,C8,C11,C12",SamacSys_Parts:CAPC2012X135N,C28323
10uF25V,"C9,C10,C20,C21,C22,C26,C27",SamacSys_Parts:CAPC2012X145N,C15850
SM4007PL,D1,SamacSys_Parts:SODFL3718X125N,C64898
AMS1117-5.0,IC1,SamacSys_Parts:SOT229P700X180-4N,C6187
PCM5102APWR,IC2,SamacSys_Parts:SOP65P640X120-20N,C107671
PCM1803ADBR,IC3,SamacSys_Parts:SOP65P780X200-20N,C32076
I2S2_OPT,J1,Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical,
57PC5F,"J13,J14",SamacSys_Parts:57PC5F,
RCA_2x2,J15,SamacSys_Parts:PJRAS2X2S01X,
SPI_OPT,J2,Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical,
Other Teensy pins,J3,Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical,
UART_OPT,J4,Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical,
163-179PH-EX,J5,SamacSys_Parts:163179PHEX,
EXTRA_POWER,J6,Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical,
POT,"J7,J8,J9,J10,J11,J12",Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical,
POWER_SWITCH,JP1,Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical,
MODE0,JP2,Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical,
MODE1,JP3,Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical,
BYPAS,JP4,Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical,
470,"R1,R2,R3,R4,R5,R6,R14,R15",SamacSys_Parts:R_0805_JLCPCB,C17710
47,"R10,R11",SamacSys_Parts:R_0805_JLCPCB,C17714
100,"R12,R13",SamacSys_Parts:R_0805_JLCPCB,C17408
220,"R7,R9",SamacSys_Parts:R_0402_JLCPCB,C25091
10k,R8,SamacSys_Parts:R_0402_JLCPCB,C25744
Teensy4.0,U1,teensy:Teensy40,
6N138SDM,U2,Package_DIP:SMDIP-8_W9.53mm,C188666
24.576MHz,U3,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,C27869
