Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF25V,CAPC2012X140N,52.774,-66.294,180,top
C2,22uF25V,CAPC2012X140N,61.8744,-81.4904,270,top
C3,10uF6.3V,CAPC1005X70N,90.726,-86.106,0,top
C4,10uF6.3V,CAPC1005X70N,88.694,-86.106,180,top
C5,1uF25V,CAPC1005X60N,65.866,-65.78,180,top
C6,1uF25V,CAPC1005X60N,75.184,-65.786,0,top
C7,100nF16V,CAPC1005X55N,90.678,-84.836,180,top
C8,100nF16V,CAPC1005X55N,88.646,-84.836,0,top
C9,100nF16V,CAPC1005X55N,90.726,-74.93,180,top
C10,100nF16V,CAPC1005X55N,70.85,-73.406,0,top
C11,10uF6.3V,CAPC1005X70N,85.138,-73.66,0,top
C12,10uF6.3V,CAPC1005X70N,70.85,-74.676,180,top
C13,10uF6.3V,CAPC1005X70N,90.63,-73.406,0,top
C14,100nF16V,CAPC1005X55N,85.192,-74.882,180,top
C15,10nF50V,CAPC2012X65N,68.072,-68.638,90,top
C16,10nF50V,CAPC2012X65N,73.406,-68.522,270,top
C17,100nF16V,CAPC1005X55N,68.278,-73.406,180,top
C18,10uF6.3V,CAPC1005X70N,68.23,-74.928,0,top
C19,2.2uF50V,CAPC3216X180N,92.964,-79.756,270,top
C20,10uF6.3V,CAPC1005X70N,68.278,-72.136,0,top
C21,100nF16V,CAPC1005X55N,70.056,-86.614,0,top
C22,100nF16V,CAPC1005X55N,65.278,-93.52,90,top
C23,2.2uF50V,CAPC3216X180N,87.884,-73.286,270,top
C24,1uF25V,CAPC1005X60N,122.428,-116.538,270,top
C25,1uF25V,CAPC1005X60N,131.064,-128.318,270,top
C26,1uF25V,CAPC1005X60N,130.81,-116.634,270,top
C27,1uF25V,CAPC1005X60N,140.208,-128.27,270,top
C28,2.2nF50V,CAPC2012X135N,87.18,-66,180,top
C29,2.2nF50V,CAPC2012X135N,81.82,-66,0,top
C30,1uF25V,CAPC1005X60N,139.7,-116.586,270,top
D1,SM4007PL,SODFL3718X125N,107.62,-68.326,180,top
IC1,AMS1117-5.0,SOT229P700X180-4N,55.5244,-80.6704,0,top
IC2,PCM5102APWR,SOP65P640X120-20N,87.7062,-79.7306,180,top
IC3,PCM1803ADBR,SOP65P780X200-20N,68.69,-80.9752,270,top
R1,470,R_0805_JLCPCB,123.3655,-114.3,0,top
R2,470,R_0805_JLCPCB,132.08,-126.1072,0,top
R3,470,R_0805_JLCPCB,131.9045,-114.3,0,top
R4,470,R_0805_JLCPCB,141.0485,-126.1072,0,top
R5,470,R_0805_JLCPCB,140.6375,-114.3,0,top
R6,33,R_0805_JLCPCB,148.336,-65.532,270,top
R7,220,R_0402_JLCPCB,98.806,-68.842,270,top
R8,10k,R_0402_JLCPCB,108.966,-83.82,270,top
R9,220,R_0402_JLCPCB,106.68,-83.812,90,top
R10,33,R_0805_JLCPCB,120.396,-69.58,270,top
R11,10,R_1206_JLCPCB,130.302,-69.98,270,top
R12,100,R_0805_JLCPCB,65.762,-68.5292,270,top
R13,100,R_0805_JLCPCB,75.692,-68.326,270,top
R14,470,R_0805_JLCPCB,88,-69,90,top
R15,470,R_0805_JLCPCB,81,-69,90,top
R16,10,R_1206_JLCPCB,138.176,-65.278,270,top
R17,10k,R_0402_JLCPCB,72.39,-93.21,90,top
U2,6N138SDM,SMDIP-8_W9.53mm,107.696,-76.139,270,top
U3,24.576MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,69.026,-93.134,90,top
